common_answer,first_name_equality,organization_similarity,email_equality,year_difference,last_name_length,initials_equality,namespace_size,country_equality,city_equality,organization_type_equality,jds_similarity,sts_similarity
1,1.0,0.0,0,0.015151515151515152,0.058823529411764705,1,0.006328580656637052,0,0,0,0.05448121648860201,0.11272199180190348
1,1.0,0.0,0,0.12121212121212122,0.23529411764705882,1,0.009783086961813195,0,0,0,0.26394237611147675,0.1311492869146799
1,0.8,0.0,0,0.10606060606060606,0.23529411764705882,0,0.005851128565677748,0,0,0,0.07771876556145822,0.20507926093535142
1,1.0,0.4347826086956522,0,0.15151515151515152,0.23529411764705882,1,0.00536431466901336,1,1,0,0.29321198267375986,0.19691370886194573
1,1.0,0.0,0,0.10606060606060606,0.23529411764705882,1,0.029283728245503994,0,0,0,0.0,0.02171781924073709
1,1.0,0.9393939393939394,0,0.13636363636363635,0.29411764705882354,1,0.0025464111517829557,1,1,1,0.3660318736078685,0.3217490745731925
0,0.1428571428571429,0.0,0,0.10606060606060606,0.23529411764705882,0,0.012441839782057163,0,0,0,0.03943657473582059,0.03901913989454221
1,1.0,0.326530612244898,0,0.16666666666666666,0.5294117647058824,1,0.00040255764531862905,0,0,0,0.07597089080066666,0.15633047250997018
1,1.0,0.0,0,0.0,0.29411764705882354,1,0.0005804319537152326,0,0,0,0.02940056045325939,0.3868324536415494
1,1.0,0.26086956521739135,0,0.16666666666666666,0.17647058823529413,1,0.003005139631332091,1,0,0,0.40680774315898405,0.3235201524199922
1,1.0,0.27380952380952384,0,0.16666666666666666,0.4117647058823529,1,0.0014978889128135036,1,1,1,0.3471357437530409,0.14470504159287167
1,1.0,0.25,0,0.16666666666666666,0.4117647058823529,1,0.00038383403390846024,1,1,0,0.4919014131750989,0.24692534405736583
0,0.375,0.0,0,0.06060606060606061,0.17647058823529413,0,0.020324480185738226,0,0,0,0.0,0.035277749922994345
0,1.0,0.2857142857142857,0,0.13636363636363635,0.17647058823529413,1,0.027495623355832874,1,0,0,0.0,0.12954698930870923
1,1.0,0.0,0,0.0,0.11764705882352941,1,0.009726916127582688,0,0,0,0.1609989057372734,0.1534250954414665
1,1.0,0.0,0,0.045454545454545456,0.4117647058823529,1,0.006646882050609921,0,0,0,0.40745819278763323,0.39077310999396847
0,1.0,0.0,0,0.09090909090909091,0.23529411764705882,1,0.000992351404738946,0,0,0,0.306149252073527,0.4200472001364001
0,0.16666666666666663,0.2894736842105263,0,0.12121212121212122,0.29411764705882354,1,0.003707275059213421,0,0,0,0.0088086358019222,0.03764845075320548
1,1.0,0.0,0,0.06060606060606061,0.5294117647058824,1,0.0019004465581321326,0,0,0,0.742376078453117,0.3933280870065863
0,0.5714285714285714,0.1428571428571429,0,0.10606060606060606,0.11764705882352941,0,0.008378816106050535,0,0,0,0.0,0.03492011443222959
1,1.0,0.0,0,0.06060606060606061,0.17647058823529413,1,0.09177378132694235,0,0,0,0.12201967187380004,0.12573323722931654
